,Year,Month,Day,Hour,GHI,Energy,conversion_efficiency
6257,2013,8,5,5,13,0.0,0.049977853866393245
6098,2013,4,19,5,2,0.0,0.049977853866393245
6095,2013,4,18,5,2,0.0,0.049977853866393245
6260,2013,8,6,5,11,0.0,0.049977853866393245
6262,2013,8,7,5,21,0.0,0.049977853866393245
6263,2013,8,8,5,32,0.0,0.049977853866393245
6265,2013,8,9,5,17,0.0,0.049977853866393245
6266,2013,8,10,5,30,0.0,0.049977853866393245
6268,2013,8,11,5,24,0.0,0.049977853866393245
6270,2013,8,12,5,14,0.0,0.049977853866393245
6272,2013,8,13,5,19,0.0,0.049977853866393245
6274,2013,8,14,5,23,0.0,0.049977853866393245
8530,2019,4,9,5,2,0.0,0.049977853866393245
6276,2013,8,15,5,4,0.0,0.049977853866393245
6278,2013,8,16,5,18,0.0,0.049977853866393245
8580,2019,5,1,5,16,0.0,0.049977853866393245
6253,2013,8,3,5,42,0.0,0.049977853866393245
8583,2019,5,2,5,13,0.0,0.049977853866393245
8589,2019,5,4,5,48,0.0,0.049977853866393245
8647,2019,6,4,5,43,0.067261852,0.049977853866393245
8648,2019,6,7,5,103,0.071747266,0.049977853866393245
8651,2019,6,8,5,113,0.0,0.049977853866393245
8652,2019,6,9,5,107,0.0,0.049977853866393245
8653,2019,6,10,5,117,0.031389989,0.049977853866393245
8654,2019,6,11,5,79,0.022421556,0.049977853866393245
8655,2019,6,12,5,31,0.031390365,0.049977853866393245
8656,2019,6,13,5,116,0.0,0.049977853866393245
8657,2019,6,14,5,81,0.188344449,0.049977853866393245
8646,2019,6,3,5,71,0.125554696,0.049977853866393245
8660,2019,6,16,5,89,0.003055556,0.049977853866393245
8662,2019,6,18,5,100,0.188348949,0.049977853866393245
8663,2019,6,20,5,83,0.025412463,0.049977853866393245
8665,2019,6,22,5,27,0.0,0.049977853866393245
8667,2019,6,23,5,20,0.046944447,0.049977853866393245
8671,2019,6,24,5,28,0.0,0.049977853866393245
8674,2019,6,25,5,101,0.0,0.049977853866393245
8677,2019,6,26,5,52,0.0,0.049977853866393245
8679,2019,6,27,5,96,0.0,0.049977853866393245
8682,2019,6,29,5,90,0.0,0.049977853866393245
8661,2019,6,17,5,25,0.0,0.049977853866393245
8645,2019,6,2,5,100,0.188330933,0.049977853866393245
8644,2019,5,31,5,75,0.143488526,0.049977853866393245
