,Year,Month,Day,GHI,Energy,conversion_efficiency
8616,2019,11,2,491,0.0228,0.05567647995385754
8617,2019,11,2,531,0.045000002,0.05567647995385754
8622,2019,12,2,237,0.061500002,0.05567647995385754
6257,2013,1,2,117,0.010337458,0.04305371217555111
6256,2013,1,2,46,0.0,0.04305371217555111
4747,2016,10,2,211,0.400562525,0.04379674236818537
1866,2012,10,2,42,0.0,0.045469535046767755
607,2017,5,2,47,0.0,0.009502088949502536
4774,2017,3,2,20,0.0,0.04379674236818537
4775,2017,3,2,77,0.0,0.04379674236818537
8658,2021,2,2,181,0.01838889,0.05567647995385754
8659,2021,2,2,162,0.069166675,0.05567647995385754
6195,2012,12,2,79,0.0,0.04305371217555111
6194,2012,12,2,42,0.0,0.04305371217555111
1905,2013,4,2,21,0.0,0.045469535046767755
1906,2013,4,2,98,0.0,0.045469535046767755
3669,2021,7,2,111,0.160333335,0.045469535046767755
2582,2017,7,2,175,0.105444454,0.045469535046767755
6140,2012,5,2,82,0.001222222,0.04305371217555111
6139,2012,5,2,60,0.0,0.04305371217555111
572,2013,8,2,21,0.0,0.009502088949502536
4826,2017,4,2,57,0.0,0.04379674236818537
263,2012,6,2,9,0.0,0.009502088949502536
264,2012,6,2,48,0.0,0.009502088949502536
8595,2019,2,2,260,0.463500023,0.05567647995385754
8430,2015,11,2,518,0.482666671,0.05567647995385754
3227,2019,10,2,2,0.0,0.045469535046767755
2619,2017,8,2,81,0.0,0.045469535046767755
4618,2015,4,2,69,0.069402173,0.04379674236818537
8456,2016,5,2,403,0.494666666,0.05567647995385754
8457,2016,5,2,618,0.948833346,0.05567647995385754
6429,2013,12,2,25,0.0,0.04305371217555111
4479,2014,2,2,25,0.0,0.04379674236818537
1757,2012,8,2,52,0.006237749,0.045469535046767755
690,2017,8,2,28,0.0,0.009502088949502536
9494,2019,12,2,354,0.872312546,0.05883034848855613
9486,2019,2,2,417,0.77850008,0.05883034848855613
9485,2019,2,2,474,1.032999992,0.05883034848855613
2663,2017,10,2,20,0.0,0.045469535046767755
8509,2018,1,2,343,0.218666673,0.05567647995385754
8510,2018,1,2,398,0.434666693,0.05567647995385754
4666,2015,10,2,233,0.423000008,0.04379674236818537
6357,2013,3,2,230,0.388837993,0.04305371217555111
670,2017,7,2,95,0.187542349,0.009502088949502536
4696,2016,4,2,196,0.003333333,0.04379674236818537
4697,2016,4,2,301,0.371388912,0.04379674236818537
3739,2021,9,2,127,0.189258099,0.045469535046767755
6319,2013,2,2,16,0.0,0.04305371217555111
6318,2013,2,2,44,0.0,0.04305371217555111
1817,2012,9,2,38,0.0,0.045469535046767755
1818,2012,9,2,110,0.0,0.045469535046767755
643,2017,6,2,102,0.025298774,0.009502088949502536
3703,2021,8,2,206,0.0,0.045469535046767755
3702,2021,8,2,117,0.03153719,0.045469535046767755
8558,2018,9,2,565,0.718444467,0.05567647995385754
10005,2016,7,2,55,0.046111114,0.04651178343067734
8236,2021,1,2,134,0.240333349,0.05077127977322454
3850,2011,10,2,237,0.481000006,0.04379674236818537
3129,2019,8,2,120,0.0,0.045469535046767755
7341,2020,2,2,80,0.0,0.04305371217555111
7318,2020,1,2,67,0.031115729,0.04305371217555111
9949,2019,2,2,36,0.029200001,0.025525041385564398
7289,2019,12,2,166,0.157114342,0.04305371217555111
7288,2019,12,2,93,0.188537195,0.04305371217555111
7810,2014,3,2,308,0.299666673,0.05077127977322454
2913,2018,10,2,9,0.0,0.045469535046767755
7261,2019,11,2,281,0.0,0.04305371217555111
7260,2019,11,2,197,0.0,0.04305371217555111
3999,2012,3,2,28,0.0,0.04379674236818537
9660,2019,2,2,334,0.414000034,0.0605530717000828
1295,2021,6,2,34,0.0,0.009502088949502536
1296,2021,6,2,98,0.0,0.009502088949502536
4047,2012,4,2,164,0.143232122,0.04379674236818537
4217,2013,2,2,6,0.0,0.04379674236818537
1022,2019,8,2,4,0.0,0.009502088949502536
3998,2012,3,2,14,0.0,0.04379674236818537
9661,2019,2,2,176,0.368000031,0.0605530717000828
3039,2019,5,2,33,0.0,0.045469535046767755
3040,2019,5,2,37,0.0,0.045469535046767755
7843,2015,2,2,278,0.22647132,0.05077127977322454
7844,2015,2,2,362,0.690280557,0.05077127977322454
7221,2019,5,2,438,0.291388899,0.04305371217555111
7220,2019,5,2,299,0.176444456,0.04305371217555111
7850,2015,4,2,485,0.779337704,0.05077127977322454
7860,2015,11,2,350,0.0,0.05077127977322454
7861,2015,11,2,418,0.0155,0.05077127977322454
7867,2015,12,2,119,0.033055555,0.05077127977322454
1023,2019,8,2,46,0.0,0.009502088949502536
1059,2019,9,2,2,0.0,0.009502088949502536
4206,2012,12,2,4,0.0,0.04379674236818537
7781,2014,2,2,198,0.375444472,0.05077127977322454
7614,2021,11,2,200,0.471800029,0.04305371217555111
7666,2012,1,2,40,0.087500006,0.05077127977322454
7706,2013,2,2,62,0.0,0.05077127977322454
7569,2021,3,2,220,0.0,0.04305371217555111
2982,2019,4,2,19,0.0,0.045469535046767755
2981,2019,4,2,6,0.0,0.045469535046767755
4109,2012,10,2,121,0.001077861,0.04379674236818537
7531,2021,2,2,121,0.189019382,0.04305371217555111
7530,2021,2,2,92,0.189019337,0.04305371217555111
1170,2020,8,2,2,0.0,0.009502088949502536
1171,2020,8,2,17,0.0,0.009502088949502536
7707,2013,2,2,78,0.022,0.05077127977322454
38,2021,6,2,1,0.0,0.0
4062,2012,5,2,95,0.152833343,0.04379674236818537
4061,2012,5,2,20,0.0,0.04379674236818537
7482,2021,1,2,48,0.0,0.04305371217555111
7481,2021,1,2,19,0.0,0.04305371217555111
1204,2020,9,2,1,0.0,0.009502088949502536
4166,2012,11,2,15,0.0,0.04379674236818537
4167,2012,11,2,61,0.027477672,0.04379674236818537
1088,2020,6,2,98,0.0,0.009502088949502536
1087,2020,6,2,34,0.0,0.009502088949502536
209,2012,5,2,13,0.0,0.009502088949502536
7441,2020,12,2,92,0.172453925,0.04305371217555111
7761,2014,1,2,87,0.0,0.05077127977322454
7762,2014,1,2,105,0.04066667,0.05077127977322454
1233,2021,5,2,3,0.0,0.009502088949502536
1234,2021,5,2,44,0.0,0.009502088949502536
7780,2014,2,2,216,0.047944445,0.05077127977322454
4253,2013,3,2,41,0.0,0.04379674236818537
