,Year,Month,Day,GHI,Energy,conversion_efficiency
10005,2016,2,2,156,0.225500003,0.01939967356210773
11968,2012,3,2,198,0.292652845,0.01986755472438175
951,2019,8,2,4,0.0,0.006189134347155545
952,2019,8,2,46,0.0,0.006189134347155545
9996,2016,1,2,387,0.471500009,0.01939967356210773
9995,2016,1,2,334,0.25850001,0.01939967356210773
11976,2013,2,2,196,0.290000021,0.01986755472438175
976,2019,9,2,2,0.0,0.006189134347155545
10006,2016,2,2,14,0.0005,0.01939967356210773
9961,2015,2,2,491,0.015091353,0.01939967356210773
9936,2014,3,2,356,0.782500029,0.01939967356210773
9935,2014,3,2,304,0.421000004,0.01939967356210773
9910,2014,2,2,296,0.169,0.01939967356210773
9909,2014,2,2,292,0.107500009,0.01939967356210773
9903,2014,1,2,232,0.311000019,0.01939967356210773
9902,2014,1,2,90,0.160000011,0.01939967356210773
9845,2013,2,2,153,0.092500001,0.01939967356210773
9844,2013,2,2,114,0.013500001,0.01939967356210773
9960,2015,2,2,430,0.002063205,0.01939967356210773
10022,2017,1,2,94,0.135000005,0.01939967356210773
10067,2018,1,2,343,0.033,0.01939967356210773
10068,2018,1,2,398,0.069499999,0.01939967356210773
10493,2016,1,2,458,0.875500083,0.02129186638497918
10492,2016,1,2,431,0.690000057,0.02129186638497918
10460,2015,2,2,574,0.054510288,0.02129186638497918
10459,2015,2,2,540,0.034205958,0.02129186638497918
10425,2014,2,2,395,0.431000024,0.02129186638497918
10424,2014,2,2,337,0.193000019,0.02129186638497918
10420,2014,1,2,464,0.846000016,0.02129186638497918
10419,2014,1,2,437,0.570500016,0.02129186638497918
843,2019,5,2,1,0.0,0.006189134347155545
844,2019,5,2,13,0.0,0.006189134347155545
10310,2021,2,2,181,0.135015383,0.01939967356210773
10255,2021,1,2,216,0.0,0.01939967356210773
302,2012,6,2,48,0.0,0.006189134347155545
301,2012,6,2,9,0.0,0.006189134347155545
10162,2019,2,2,174,0.0,0.01939967356210773
10161,2019,2,2,260,0.0,0.01939967356210773
10125,2018,12,2,162,0.300500035,0.01939967356210773
901,2019,7,2,28,0.0,0.006189134347155545
902,2019,7,2,89,0.0,0.006189134347155545
9703,2021,1,2,134,0.0,0.025337925396366326
8649,2021,3,2,220,0.077500001,0.021076165549330592
9668,2020,12,2,244,0.301500022,0.025337925396366326
1126,2020,9,2,1,0.0,0.006189134347155545
9059,2014,2,2,216,0.0,0.025337925396366326
247,2012,5,2,13,0.0,0.006189134347155545
1315,2011,6,2,29,0.0,0.02538197271449368
1316,2011,6,2,5,0.0,0.02538197271449368
9032,2014,1,2,105,0.0275,0.025337925396366326
9031,2014,1,2,87,0.0,0.025337925396366326
8982,2013,11,2,426,0.833999991,0.025337925396366326
1353,2011,7,2,166,0.075979128,0.02538197271449368
9060,2014,2,2,198,0.057500001,0.025337925396366326
8936,2013,2,2,78,0.0,0.025337925396366326
8913,2013,1,2,193,0.175379917,0.025337925396366326
7342,2013,12,2,23,0.0,0.021076165549330592
8838,2012,1,2,40,0.0,0.025337925396366326
